epoch,train_loss,val_dice,val_iou,val_accuracy,val_sensitivity,val_specificity,val_hd95_mean
1,1.073205,0.276594,0.160493,0.531572,0.902668,0.490701,122.770240
2,0.986888,0.389103,0.241544,0.729238,0.869176,0.713827,111.551068
3,0.940647,0.350236,0.212295,0.648897,0.953815,0.615315,118.231006
4,0.909034,0.297982,0.175075,0.547240,0.968574,0.500837,137.256603
5,0.882714,0.468334,0.305767,0.813112,0.829701,0.811285,98.859164
6,0.849864,0.434148,0.277260,0.771174,0.884840,0.758656,103.102198
7,0.853818,0.438438,0.280768,0.768747,0.909958,0.753195,110.874835
8,0.824891,0.450777,0.290970,0.785192,0.888562,0.773808,104.542124
9,0.837222,0.455647,0.295041,0.789240,0.889123,0.778239,109.632639
10,0.815661,0.426720,0.271229,0.748365,0.943997,0.726819,118.600243
11,0.815523,0.485517,0.320582,0.815617,0.876958,0.808861,109.274986
12,0.788531,0.527239,0.357993,0.842447,0.885554,0.837700,104.898221
13,0.786308,0.432212,0.275683,0.756376,0.934661,0.736741,105.647161
14,0.809639,0.496942,0.330621,0.820036,0.895976,0.811673,104.988321
15,0.768054,0.499721,0.333085,0.824511,0.883465,0.818018,103.748441
16,0.782935,0.511051,0.343229,0.828842,0.901613,0.820828,110.023630
17,0.761734,0.530839,0.361322,0.843900,0.890160,0.838805,110.022116
18,0.742372,0.460224,0.298890,0.782702,0.933762,0.766065,104.733890
19,0.751926,0.528316,0.358987,0.840834,0.898499,0.834483,104.287234
20,0.726186,0.532506,0.362868,0.841339,0.910843,0.833684,96.912131
21,0.747280,0.483849,0.319129,0.805563,0.918619,0.793112,104.235575
22,0.712682,0.517828,0.349371,0.832320,0.907589,0.824030,99.664039
23,0.730791,0.530281,0.360804,0.840811,0.905744,0.833660,97.925846
24,0.711701,0.553240,0.382399,0.857173,0.891405,0.853402,86.421372
25,0.692055,0.506962,0.339551,0.826900,0.897051,0.819174,101.414600
26,0.739372,0.488151,0.322883,0.803897,0.942583,0.788623,106.880810
27,0.690504,0.505916,0.338613,0.820856,0.924494,0.809442,110.925210
28,0.717695,0.529718,0.360283,0.836424,0.928605,0.826271,98.923810
29,0.700498,0.574781,0.403293,0.868116,0.898472,0.864773,94.209976
30,0.717074,0.537759,0.367764,0.846102,0.902354,0.839907,104.700140
31,0.708382,0.507350,0.339899,0.823790,0.914588,0.813790,96.672036
32,0.697521,0.514579,0.346420,0.827535,0.921422,0.817195,100.375299
33,0.704545,0.542088,0.371825,0.847379,0.910600,0.840416,101.929795
34,0.672367,0.565754,0.394461,0.861033,0.912486,0.855367,92.877345
35,0.669858,0.599903,0.428473,0.880891,0.900088,0.878777,90.237949
36,0.665723,0.602244,0.430865,0.883371,0.889995,0.882641,91.392991
37,0.680812,0.554848,0.383938,0.852900,0.924067,0.845062,96.450190
38,0.660756,0.550328,0.379623,0.851020,0.918923,0.843541,98.108538
39,0.669462,0.579658,0.408111,0.867168,0.923200,0.860997,96.229772
40,0.680735,0.629062,0.458855,0.900936,0.846706,0.906908,89.019257
41,0.658162,0.597339,0.425861,0.878608,0.907600,0.875415,85.401750
42,0.656632,0.608884,0.437695,0.885331,0.899702,0.883748,90.677425
43,0.649254,0.576798,0.405282,0.865746,0.922204,0.859528,93.087713
44,0.647788,0.595521,0.424016,0.878113,0.904443,0.875214,90.107006
45,0.636772,0.624777,0.454309,0.891897,0.907185,0.890214,88.997729
46,0.628176,0.612986,0.441946,0.887622,0.897072,0.886582,90.362742
47,0.632891,0.606738,0.435480,0.883902,0.902752,0.881826,92.087739
48,0.609763,0.668944,0.502566,0.916347,0.851908,0.923444,87.057615
49,0.640916,0.620806,0.450123,0.891370,0.896331,0.890824,89.148673
50,0.627801,0.613282,0.442254,0.889281,0.884940,0.889759,83.755143
51,0.645283,0.580667,0.409113,0.867171,0.927013,0.860580,94.414097
52,0.607380,0.677483,0.512268,0.919822,0.848840,0.927639,71.801766
53,0.604577,0.662459,0.495282,0.911154,0.878813,0.914716,79.534904
54,0.626553,0.615043,0.444088,0.889561,0.889283,0.889592,83.071910
55,0.588550,0.597428,0.425951,0.876365,0.924716,0.871040,86.185322
56,0.618728,0.592258,0.420715,0.874699,0.917287,0.870008,84.963488
57,0.586547,0.672603,0.506708,0.915149,0.878550,0.919179,73.305930
58,0.593929,0.599180,0.427735,0.876669,0.929189,0.870885,89.969387
59,0.589254,0.620931,0.450253,0.891538,0.895415,0.891112,84.540983
60,0.592225,0.631990,0.461978,0.894401,0.913978,0.892245,85.427875
61,0.595560,0.675305,0.509782,0.916821,0.871895,0.921769,72.641425
62,0.581882,0.686280,0.522394,0.921048,0.870459,0.926619,69.032584
63,0.580015,0.639754,0.470322,0.899969,0.895304,0.900483,78.534604
64,0.581107,0.640628,0.471268,0.900682,0.892307,0.901604,81.201830
65,0.563872,0.669459,0.503148,0.913233,0.885687,0.916266,77.598818
66,0.555813,0.602069,0.430686,0.879079,0.922069,0.874345,86.533569
67,0.548084,0.678445,0.513369,0.916891,0.883760,0.920539,67.573004
68,0.544279,0.656302,0.488429,0.908007,0.885330,0.910504,83.486979
69,0.573533,0.663986,0.496990,0.912200,0.874416,0.916362,69.180952
70,0.550617,0.618236,0.447426,0.887201,0.920639,0.883518,82.372241
71,0.545619,0.644088,0.475022,0.899778,0.914092,0.898201,76.216343
72,0.542415,0.697649,0.535684,0.924179,0.881734,0.928854,62.843492
73,0.549608,0.694639,0.532143,0.924143,0.869694,0.930140,68.535038
74,0.528709,0.667598,0.501049,0.911896,0.891806,0.914109,70.009081
75,0.538450,0.679063,0.514077,0.917796,0.876608,0.922333,69.049457
76,0.523516,0.677664,0.512474,0.916383,0.885983,0.919731,75.249117
77,0.534542,0.676181,0.510781,0.915250,0.891923,0.917819,71.395764
78,0.523526,0.706050,0.545655,0.929094,0.858355,0.936885,64.252816
79,0.519220,0.716610,0.558373,0.933259,0.850581,0.942365,64.184156
80,0.521609,0.680586,0.515825,0.917106,0.890177,0.920072,74.913841
81,0.529615,0.689353,0.525964,0.921532,0.877584,0.926373,69.728356
82,0.523390,0.670053,0.503819,0.912677,0.893755,0.914761,73.119554
83,0.519227,0.693514,0.530823,0.923098,0.877014,0.928173,68.427304
84,0.502764,0.699437,0.537796,0.926036,0.867473,0.932486,65.806689
85,0.518749,0.664566,0.497641,0.910800,0.890675,0.913017,73.979581
86,0.511342,0.683989,0.519744,0.919418,0.879042,0.923865,68.350147
87,0.518306,0.704097,0.543326,0.927892,0.864752,0.934846,63.202319
88,0.509941,0.677233,0.511982,0.916262,0.885511,0.919649,68.906415
89,0.509137,0.705912,0.545490,0.928501,0.864964,0.935498,62.680060
90,0.491241,0.685022,0.520938,0.919213,0.885505,0.922925,67.389710
91,0.507134,0.702776,0.541754,0.927709,0.861470,0.935005,64.414798
92,0.500255,0.698024,0.536126,0.925057,0.873075,0.930782,66.564059
93,0.506011,0.708061,0.548061,0.929633,0.860144,0.937286,63.152575
94,0.492702,0.692462,0.529592,0.922507,0.879400,0.927254,66.987337
95,0.518817,0.714581,0.555913,0.932546,0.851144,0.941511,60.063725
96,0.496272,0.689589,0.526239,0.921419,0.879820,0.926001,67.875499
97,0.520777,0.702419,0.541330,0.926712,0.871863,0.932753,63.663106
98,0.498111,0.696431,0.534249,0.924151,0.876991,0.929345,67.680689
99,0.507535,0.699035,0.537320,0.925247,0.875054,0.930775,64.867301
100,0.485363,0.686107,0.522194,0.920030,0.880967,0.924332,69.341584
