epoch,train_loss,val_dice,val_iou,val_accuracy,val_sensitivity,val_specificity,val_hd95_mean
1,1.017483,0.499523,0.332909,0.854441,0.732209,0.867903,108.738809
2,0.906338,0.470896,0.307955,0.795258,0.918364,0.781700,104.750387
3,0.851018,0.446802,0.287666,0.772412,0.926420,0.755451,109.862009
4,0.837302,0.492470,0.326673,0.808941,0.934350,0.795129,103.106918
5,0.807736,0.503079,0.336076,0.822457,0.905891,0.813268,102.932438
6,0.819593,0.457059,0.296226,0.779832,0.934111,0.762840,115.078268
7,0.784242,0.510496,0.342729,0.826177,0.913623,0.816547,106.765046
8,0.781918,0.482948,0.318346,0.802228,0.931011,0.788045,101.823945
9,0.765852,0.488021,0.322770,0.806475,0.929714,0.792902,101.119083
10,0.788706,0.541295,0.371079,0.845840,0.916845,0.838020,97.944795
11,0.745354,0.496256,0.330013,0.812964,0.928635,0.800224,95.963344
12,0.732419,0.548873,0.378239,0.852511,0.904391,0.846797,95.744460
13,0.711775,0.453484,0.293229,0.771872,0.954029,0.751810,104.724402
14,0.753189,0.527963,0.358661,0.836742,0.920293,0.827540,105.076124
15,0.727508,0.592754,0.421215,0.879352,0.885035,0.878726,93.077562
16,0.704223,0.686711,0.522894,0.929193,0.782216,0.945381,69.089462
17,0.708322,0.606417,0.435149,0.889561,0.857593,0.893082,90.982318
18,0.697955,0.442857,0.284404,0.758688,0.966719,0.735777,106.041238
19,0.705474,0.627837,0.457553,0.898329,0.864443,0.902061,86.013457
20,0.684426,0.502764,0.335795,0.814720,0.944181,0.800462,103.455120
21,0.677307,0.591810,0.420263,0.876889,0.899583,0.874389,88.205603
22,0.666909,0.561433,0.390273,0.857304,0.920657,0.850327,98.478072
23,0.678784,0.611906,0.440824,0.886695,0.900370,0.885189,87.494133
24,0.663585,0.533320,0.363624,0.839265,0.925773,0.829737,99.159773
25,0.679209,0.596088,0.424591,0.880442,0.889258,0.879471,94.893343
26,0.655053,0.551868,0.381089,0.851458,0.921938,0.843696,98.663803
27,0.646050,0.606328,0.435058,0.883675,0.902961,0.881552,88.358708
28,0.648680,0.633069,0.463131,0.896970,0.895887,0.897089,85.680655
29,0.635679,0.624983,0.454528,0.894427,0.886740,0.895273,89.040852
30,0.647476,0.625819,0.455413,0.894913,0.885811,0.895916,87.885850
31,0.617233,0.539378,0.369280,0.841693,0.934271,0.831497,101.995740
32,0.647161,0.668548,0.502119,0.914829,0.865821,0.920226,76.472708
33,0.616200,0.631868,0.461847,0.895840,0.901049,0.895266,84.387921
34,0.614875,0.651996,0.483675,0.905384,0.893401,0.906704,81.914802
35,0.634873,0.570292,0.398887,0.860176,0.935254,0.851907,101.905520
36,0.608836,0.607419,0.436182,0.884135,0.903519,0.882000,94.807203
37,0.629981,0.592235,0.420692,0.873847,0.923433,0.868386,92.778792
38,0.612352,0.640731,0.471379,0.899398,0.904248,0.898864,85.455335
39,0.611571,0.640158,0.470759,0.900406,0.892965,0.901225,87.153965
40,0.588406,0.633525,0.463620,0.896638,0.900544,0.896208,86.229538
41,0.600360,0.614513,0.443536,0.885801,0.917507,0.882309,86.677228
42,0.580149,0.661990,0.494757,0.911909,0.869512,0.916579,86.620102
43,0.602517,0.622263,0.451656,0.890332,0.910521,0.888108,89.098776
44,0.602105,0.628464,0.458219,0.892940,0.912705,0.890764,84.760869
45,0.579401,0.681121,0.516440,0.918340,0.879088,0.922663,76.641477
46,0.583180,0.648449,0.479781,0.904183,0.890751,0.905662,85.049334
47,0.584963,0.597401,0.425924,0.876148,0.926230,0.870633,92.306185
48,0.583604,0.647205,0.478421,0.902389,0.902492,0.902378,88.412554
49,0.561400,0.679856,0.514987,0.917415,0.883892,0.921107,74.243620
50,0.577590,0.602679,0.431311,0.879983,0.917511,0.875850,94.743507
51,0.569050,0.670354,0.504160,0.913081,0.890834,0.915531,79.731032
52,0.566523,0.616007,0.445094,0.887051,0.913204,0.884171,87.295303
53,0.564731,0.674382,0.508730,0.915665,0.880304,0.919559,84.302314
54,0.562071,0.661878,0.494632,0.909950,0.888411,0.912322,84.303784
55,0.547141,0.650884,0.482452,0.904034,0.901732,0.904287,85.009315
56,0.526406,0.671917,0.505930,0.914047,0.887192,0.917005,81.196713
