epoch,train_loss,val_dice,val_iou,val_hd95_mean
1,2.215191,0.232079,0.131272,157.240223
2,1.750197,0.546564,0.376049,90.034475
3,1.611443,0.518523,0.350004,84.947105
4,1.540503,0.569927,0.398530,69.012652
5,1.460924,0.583922,0.412351,59.336578
6,1.435470,0.564412,0.393158,63.169614
7,1.385235,0.570617,0.399205,63.945474
8,1.364983,0.644267,0.475216,45.485843
9,1.353418,0.525291,0.356200,68.902427
10,1.339860,0.606242,0.434969,51.819407
11,1.257520,0.588754,0.417187,51.149479
12,1.233526,0.589246,0.417682,56.355682
13,1.240566,0.639025,0.469535,49.124912
14,1.205884,0.643792,0.474700,47.516323
15,1.201365,0.600379,0.428958,55.541376
16,1.133548,0.686973,0.523198,38.807986
17,1.121098,0.636603,0.466924,45.323550
18,1.121782,0.637725,0.468132,47.639887
19,1.132338,0.667837,0.501318,40.445298
20,1.077105,0.640182,0.470785,48.655850
21,1.068992,0.681781,0.517198,37.203024
22,1.095834,0.642939,0.473773,44.209905
23,1.085526,0.575681,0.404179,57.984554
24,1.060243,0.683044,0.518654,40.373072
25,1.022691,0.698173,0.536302,35.402243
26,0.972480,0.677151,0.511888,38.968689
27,0.974642,0.678107,0.512982,39.921590
28,0.980107,0.715860,0.557463,34.925438
29,0.959926,0.700395,0.538929,35.773292
30,0.931224,0.715594,0.557140,35.271606
31,0.952250,0.723373,0.566628,32.735678
32,0.908111,0.703328,0.542411,40.504271
33,0.925730,0.712225,0.553066,37.864769
34,0.889038,0.737682,0.584387,31.585804
35,0.906203,0.734120,0.579928,32.797726
36,0.883603,0.745296,0.594002,30.848044
37,0.908503,0.756117,0.607868,29.231078
38,0.863995,0.762270,0.615861,28.350369
39,0.868074,0.741227,0.588849,31.626648
40,0.848686,0.731340,0.576467,32.675889
41,0.881362,0.730503,0.575427,34.476132
42,0.857666,0.719010,0.561293,35.501025
43,0.816792,0.714397,0.555690,33.529549
44,0.801861,0.748307,0.597835,29.452570
45,0.831112,0.739518,0.586695,31.639788
46,0.812471,0.749789,0.599730,28.489787
47,0.795077,0.728571,0.573033,33.672996
48,0.807360,0.725403,0.569123,36.178080
49,0.840159,0.732114,0.577428,33.692717
50,0.765710,0.723118,0.566315,33.187718
51,0.774781,0.752139,0.602743,28.607895
52,0.759654,0.729185,0.573793,34.110430
53,0.778769,0.722622,0.565707,34.870633
54,0.772658,0.731190,0.576280,33.831441
55,0.721073,0.757932,0.610218,29.786278
56,0.733285,0.758662,0.611165,28.762482
57,0.708185,0.754536,0.605827,28.929102
58,0.741092,0.747885,0.597298,29.903918
59,0.781766,0.745280,0.593981,29.703466
60,0.728130,0.753731,0.604790,30.655704
61,0.735842,0.765228,0.619732,29.972612
62,0.737574,0.746508,0.595543,31.135651
63,0.680751,0.727557,0.571780,36.609302
64,0.719416,0.740624,0.588088,31.191992
65,0.701701,0.748346,0.597885,32.178062
66,0.692848,0.744704,0.593250,30.792008
67,0.697593,0.761638,0.615037,28.015556
68,0.676832,0.749314,0.599122,32.507273
69,0.681545,0.744959,0.593573,33.056196
70,0.708017,0.747668,0.597020,32.792185
71,0.680222,0.763935,0.618038,30.764020
72,0.689970,0.756653,0.608561,31.661037
73,0.654101,0.755432,0.606984,30.486483
74,0.667808,0.753003,0.603854,31.819080
75,0.709516,0.755532,0.607113,30.814193
76,0.655937,0.766348,0.621202,28.603740
77,0.651535,0.764246,0.618446,29.641845
78,0.675616,0.758779,0.611316,30.699348
79,0.655395,0.757020,0.609036,29.953886
80,0.654924,0.754141,0.605318,31.484334
81,0.641795,0.765861,0.620563,30.460066
82,0.658183,0.771621,0.628162,28.844408
83,0.630937,0.757366,0.609484,29.904159
84,0.661569,0.745897,0.594766,31.450848
85,0.647250,0.753044,0.603906,31.057503
86,0.659207,0.758672,0.611178,29.943387
87,0.655240,0.760766,0.613901,29.919570
88,0.649992,0.762468,0.616120,29.659445
89,0.646697,0.755073,0.606519,30.047616
90,0.644677,0.765076,0.619532,29.217178
91,0.655477,0.760999,0.614204,29.990058
92,0.617705,0.768054,0.623448,29.533737
93,0.677505,0.756093,0.607837,30.339739
94,0.646754,0.760412,0.613440,30.110677
95,0.651311,0.757858,0.610122,30.215286
96,0.636089,0.767643,0.622907,29.201550
97,0.647833,0.763695,0.617723,29.427374
98,0.642597,0.764665,0.618994,29.282300
99,0.648650,0.771773,0.628363,28.656104
100,0.626302,0.763516,0.617490,29.410916
