epoch,train_loss,val_dice,val_iou,val_accuracy,val_sensitivity,val_specificity,val_hd95_mean
1,1.119509,0.297864,0.174995,0.571519,0.916123,0.533566,119.775132
2,0.994668,0.328583,0.196590,0.642392,0.882034,0.615999,141.930254
3,0.937169,0.380733,0.235127,0.714122,0.885825,0.695212,132.557752
4,0.907936,0.416052,0.262668,0.744113,0.918852,0.724869,114.723255
5,0.913087,0.308704,0.182525,0.582778,0.939007,0.543545,121.372273
6,0.866257,0.461399,0.299882,0.802798,0.851425,0.797442,123.210872
7,0.858757,0.356450,0.216878,0.654553,0.964322,0.620437,122.730909
8,0.829310,0.390074,0.242293,0.711622,0.929517,0.687624,115.729701
9,0.827506,0.394452,0.245681,0.709412,0.953998,0.682475,115.938650
10,0.827918,0.409846,0.257739,0.738898,0.913880,0.719627,126.736471
11,0.826226,0.387738,0.240493,0.702281,0.950238,0.674972,123.819014
12,0.822367,0.442252,0.283904,0.767976,0.927234,0.750436,110.774957
13,0.811219,0.506613,0.339238,0.824563,0.907892,0.815386,102.950582
14,0.804191,0.568163,0.396807,0.874439,0.832592,0.879048,94.404823
15,0.779077,0.477377,0.313523,0.795589,0.941029,0.779571,106.289929
16,0.757636,0.450790,0.290981,0.772572,0.940816,0.754042,102.811397
17,0.759148,0.504477,0.337325,0.821727,0.914718,0.811485,105.962116
18,0.768977,0.543475,0.373131,0.849960,0.900213,0.844426,96.704373
19,0.768306,0.542916,0.372604,0.848408,0.907477,0.841903,98.251286
20,0.738222,0.478611,0.314588,0.799292,0.928561,0.785055,105.816052
21,0.730414,0.544100,0.373721,0.852010,0.890157,0.847808,97.270559
22,0.732525,0.448837,0.289355,0.769090,0.947712,0.749417,105.377570
23,0.725950,0.517789,0.349336,0.831572,0.911498,0.822769,105.810423
24,0.711794,0.593850,0.422323,0.879469,0.888207,0.878506,91.133128
25,0.726398,0.428452,0.272631,0.744404,0.965669,0.720035,110.591131
26,0.732309,0.497706,0.331298,0.813735,0.930191,0.800909,102.114610
27,0.725768,0.479215,0.315111,0.794796,0.951664,0.777519,102.276556
28,0.736404,0.542067,0.371806,0.848174,0.905779,0.841830,96.664327
29,0.707434,0.483666,0.318971,0.800405,0.942299,0.784778,104.793463
30,0.720907,0.633639,0.463742,0.901668,0.857144,0.906571,82.193338
31,0.681901,0.471978,0.308882,0.791938,0.937318,0.775927,111.948215
32,0.681713,0.539055,0.368977,0.842673,0.927283,0.833354,98.171408
33,0.692257,0.488033,0.322780,0.804238,0.940502,0.789231,107.321996
34,0.694381,0.549809,0.379129,0.850503,0.920178,0.842830,96.347164
35,0.672931,0.568306,0.396946,0.865409,0.892990,0.862371,89.917889
36,0.672363,0.596466,0.424975,0.879127,0.900452,0.876778,89.233879
37,0.680104,0.600026,0.428598,0.879986,0.907390,0.876968,84.835809
38,0.672866,0.578566,0.407030,0.865920,0.927709,0.859115,92.721132
39,0.678905,0.563523,0.392295,0.858837,0.918537,0.852262,97.116668
