index,img_path,mask_path,dice
19,Dataset_BUSI_with_GT\benign\benign (108).png,Dataset_BUSI_with_GT\benign\benign (108)_mask.png,0.0
44,Dataset_BUSI_with_GT\malignant\malignant (105).png,Dataset_BUSI_with_GT\malignant\malignant (105)_mask.png,0.0
40,Dataset_BUSI_with_GT\benign\benign (248).png,Dataset_BUSI_with_GT\benign\benign (248)_mask.png,0.0
35,Dataset_BUSI_with_GT\benign\benign (288).png,Dataset_BUSI_with_GT\benign\benign (288)_mask.png,0.0
55,Dataset_BUSI_with_GT\benign\benign (394).png,Dataset_BUSI_with_GT\benign\benign (394)_mask.png,0.0
94,Dataset_BUSI_with_GT\malignant\malignant (107).png,Dataset_BUSI_with_GT\malignant\malignant (107)_mask.png,0.0
93,Dataset_BUSI_with_GT\benign\benign (413).png,Dataset_BUSI_with_GT\benign\benign (413)_mask.png,0.0
36,Dataset_BUSI_with_GT\benign\benign (199).png,Dataset_BUSI_with_GT\benign\benign (199)_mask.png,0.023721690403911408
76,Dataset_BUSI_with_GT\benign\benign (283).png,Dataset_BUSI_with_GT\benign\benign (283)_mask.png,0.25456962445953046
32,Dataset_BUSI_with_GT\benign\benign (256).png,Dataset_BUSI_with_GT\benign\benign (256)_mask.png,0.25826817541631863
50,Dataset_BUSI_with_GT\malignant\malignant (95).png,Dataset_BUSI_with_GT\malignant\malignant (95)_mask.png,0.28045977011485773
69,Dataset_BUSI_with_GT\malignant\malignant (41).png,Dataset_BUSI_with_GT\malignant\malignant (41)_mask.png,0.2843339421432367
15,Dataset_BUSI_with_GT\benign\benign (321).png,Dataset_BUSI_with_GT\benign\benign (321)_mask.png,0.2908827785796608
66,Dataset_BUSI_with_GT\benign\benign (414).png,Dataset_BUSI_with_GT\benign\benign (414)_mask.png,0.30102783904111313
34,Dataset_BUSI_with_GT\malignant\malignant (199).png,Dataset_BUSI_with_GT\malignant\malignant (199)_mask.png,0.3151104066058484
68,Dataset_BUSI_with_GT\benign\benign (246).png,Dataset_BUSI_with_GT\benign\benign (246)_mask.png,0.337602627256691
64,Dataset_BUSI_with_GT\benign\benign (427).png,Dataset_BUSI_with_GT\benign\benign (427)_mask.png,0.346533739499357
48,Dataset_BUSI_with_GT\benign\benign (362).png,Dataset_BUSI_with_GT\benign\benign (362)_mask.png,0.350113942406567
67,Dataset_BUSI_with_GT\malignant\malignant (38).png,Dataset_BUSI_with_GT\malignant\malignant (38)_mask.png,0.3641025641022723
96,Dataset_BUSI_with_GT\malignant\malignant (96).png,Dataset_BUSI_with_GT\malignant\malignant (96)_mask.png,0.37911859905375855
53,Dataset_BUSI_with_GT\malignant\malignant (138).png,Dataset_BUSI_with_GT\malignant\malignant (138)_mask.png,0.5260968737419408
73,Dataset_BUSI_with_GT\malignant\malignant (204).png,Dataset_BUSI_with_GT\malignant\malignant (204)_mask.png,0.5958927949875212
1,Dataset_BUSI_with_GT\benign\benign (298).png,Dataset_BUSI_with_GT\benign\benign (298)_mask.png,0.5988473149752092
37,Dataset_BUSI_with_GT\benign\benign (437).png,Dataset_BUSI_with_GT\benign\benign (437)_mask.png,0.627684964192987
10,Dataset_BUSI_with_GT\malignant\malignant (60).png,Dataset_BUSI_with_GT\malignant\malignant (60)_mask.png,0.6333665567735055
86,Dataset_BUSI_with_GT\benign\benign (177).png,Dataset_BUSI_with_GT\benign\benign (177)_mask.png,0.6336187471805605
42,Dataset_BUSI_with_GT\malignant\malignant (175).png,Dataset_BUSI_with_GT\malignant\malignant (175)_mask.png,0.6383471975997459
3,Dataset_BUSI_with_GT\benign\benign (91).png,Dataset_BUSI_with_GT\benign\benign (91)_mask.png,0.6384364820794917
89,Dataset_BUSI_with_GT\malignant\malignant (59).png,Dataset_BUSI_with_GT\malignant\malignant (59)_mask.png,0.6445440080393928
88,Dataset_BUSI_with_GT\benign\benign (338).png,Dataset_BUSI_with_GT\benign\benign (338)_mask.png,0.658337337815193
24,Dataset_BUSI_with_GT\malignant\malignant (184).png,Dataset_BUSI_with_GT\malignant\malignant (184)_mask.png,0.6693484717468065
41,Dataset_BUSI_with_GT\benign\benign (424).png,Dataset_BUSI_with_GT\benign\benign (424)merged_mask.png,0.6836657409727754
47,Dataset_BUSI_with_GT\benign\benign (343).png,Dataset_BUSI_with_GT\benign\benign (343)_mask.png,0.691915414428033
97,Dataset_BUSI_with_GT\malignant\malignant (209).png,Dataset_BUSI_with_GT\malignant\malignant (209)_mask.png,0.6948143950107827
30,Dataset_BUSI_with_GT\malignant\malignant (76).png,Dataset_BUSI_with_GT\malignant\malignant (76)_mask.png,0.6978428899451189
25,Dataset_BUSI_with_GT\benign\benign (410).png,Dataset_BUSI_with_GT\benign\benign (410)_mask.png,0.7082624488478972
6,Dataset_BUSI_with_GT\benign\benign (262).png,Dataset_BUSI_with_GT\benign\benign (262)_mask.png,0.7189618571523937
52,Dataset_BUSI_with_GT\malignant\malignant (151).png,Dataset_BUSI_with_GT\malignant\malignant (151)_mask.png,0.7228915662647987
63,Dataset_BUSI_with_GT\benign\benign (43).png,Dataset_BUSI_with_GT\benign\benign (43)_mask.png,0.7244299674219907
7,Dataset_BUSI_with_GT\benign\benign (217).png,Dataset_BUSI_with_GT\benign\benign (217)_mask.png,0.7346203346198619
17,Dataset_BUSI_with_GT\malignant\malignant (23).png,Dataset_BUSI_with_GT\malignant\malignant (23)_mask.png,0.7359683379155674
95,Dataset_BUSI_with_GT\benign\benign (15).png,Dataset_BUSI_with_GT\benign\benign (15)_mask.png,0.7391304347775874
72,Dataset_BUSI_with_GT\benign\benign (143).png,Dataset_BUSI_with_GT\benign\benign (143)_mask.png,0.747603833857853
80,Dataset_BUSI_with_GT\benign\benign (70).png,Dataset_BUSI_with_GT\benign\benign (70)_mask.png,0.749021799884019
81,Dataset_BUSI_with_GT\malignant\malignant (61).png,Dataset_BUSI_with_GT\malignant\malignant (61)_mask.png,0.7686796315231098
39,Dataset_BUSI_with_GT\benign\benign (241).png,Dataset_BUSI_with_GT\benign\benign (241)_mask.png,0.7703492145907175
45,Dataset_BUSI_with_GT\benign\benign (100).png,Dataset_BUSI_with_GT\benign\benign (100)merged_mask.png,0.7708872836298611
79,Dataset_BUSI_with_GT\malignant\malignant (72).png,Dataset_BUSI_with_GT\malignant\malignant (72)_mask.png,0.7711820534942587
56,Dataset_BUSI_with_GT\benign\benign (258).png,Dataset_BUSI_with_GT\benign\benign (258)_mask.png,0.7782345828276221
13,Dataset_BUSI_with_GT\benign\benign (172).png,Dataset_BUSI_with_GT\benign\benign (172)_mask.png,0.7828908554549178
11,Dataset_BUSI_with_GT\benign\benign (352).png,Dataset_BUSI_with_GT\benign\benign (352)_mask.png,0.7853577371004695
9,Dataset_BUSI_with_GT\benign\benign (349).png,Dataset_BUSI_with_GT\benign\benign (349)_mask.png,0.7933604336016485
22,Dataset_BUSI_with_GT\benign\benign (406).png,Dataset_BUSI_with_GT\benign\benign (406)_mask.png,0.7933728005259031
82,Dataset_BUSI_with_GT\benign\benign (87).png,Dataset_BUSI_with_GT\benign\benign (87)_mask.png,0.7966254896029026
28,Dataset_BUSI_with_GT\malignant\malignant (161).png,Dataset_BUSI_with_GT\malignant\malignant (161)_mask.png,0.8122050086065823
46,Dataset_BUSI_with_GT\malignant\malignant (164).png,Dataset_BUSI_with_GT\malignant\malignant (164)_mask.png,0.8158268010450443
77,Dataset_BUSI_with_GT\benign\benign (389).png,Dataset_BUSI_with_GT\benign\benign (389)_mask.png,0.819840898453861
5,Dataset_BUSI_with_GT\malignant\malignant (1).png,Dataset_BUSI_with_GT\malignant\malignant (1)_mask.png,0.8243636635066015
